locus_tag	MW0	MY0	MZ0	MW1	MY1	MZ1	MW2	MY2	MZ2	MW3	MX3	MY3	MZ3	MW4	MX4	MY4	MZ4	MW5	MX5	MY5	MW6	MX6	MY6	MZ6
 AURMO_00394:hypothetical protein	1864	1967	2196	2310	1250	1561	1200	1986	3572	2776	1366	2380	788	2613	2238	2202	3135	2822	2060	3172	1368	1892	2292	2962
 AURMO_00395:nucleotidyltransferase-like protein	570	593	635	617	394	475	373	487	1126	814	483	733	224	684	827	605	838	799	618	945	381	645	620	717
 AURMO_00396:excisionase family DNA binding protein	55	27	42	55	18	41	40	43	94	67	70	47	16	39	134	48	81	73	38	45	32	106	61	52
 AURMO_00397:hypothetical protein	83	67	87	120	52	66	54	85	153	123	78	107	29	71	183	94	99	132	49	128	53	231	85	75
 AURMO_00398:MinD-like ATPase involved in chromosome partitioning or flagellar assembly	146	110	125	193	70	90	72	122	259	195	125	138	34	146	333	133	157	201	121	214	87	273	105	159
 AURMO_00399:NYN domain-containing protein	156	155	159	163	91	101	107	138	235	229	99	208	54	209	286	202	198	303	143	322	136	192	247	235
 AURMO_00400:acetyl esterase/lipase	1438	1403	1450	1871	1045	1099	956	1476	2814	2157	1679	1817	581	1676	2154	1606	2054	2221	1779	2356	926	1577	1642	1886
 AURMO_00401:two-component sensor histidine kinase	1522	1430	1641	1962	1079	1198	984	1453	2936	2111	1574	1786	625	1660	2240	1552	1720	2144	1778	2183	928	1616	1505	1761
 AURMO_00402:CBS domain containing-hemolysin-like protein	1244	1143	1193	1671	691	859	774	855	2419	1742	1114	1431	355	1432	1652	1148	1394	1897	1186	1837	781	1166	1263	1429
 AURMO_00403:CBS domain containing-hemolysin-like protein	617	563	576	823	305	492	370	503	1153	931	650	816	220	794	926	745	899	1056	541	985	403	641	672	972
 AURMO_00404:hydroxyethylthiazole kinase-like uncharacterized protein yjeF	297	272	271	391	174	218	231	244	594	458	326	383	101	394	494	347	439	512	278	491	198	366	360	498
 AURMO_00405:uncharacterized protein DUF2029	259	237	270	332	149	215	177	217	528	437	303	389	95	301	597	281	337	413	276	456	149	500	270	392
 AURMO_00406:homoserine O-acetyltransferase 	1559	1381	1527	2218	1002	1015	1030	1338	3049	2124	1208	1815	503	1619	2196	1344	1149	1990	1749	2055	763	1510	1202	1228
 AURMO_00407:enoyl-CoA hydratase/carnithine racemase	2695	2723	2590	3334	1707	2062	1708	2261	4709	3602	3006	3378	1105	3053	3686	2733	2981	3735	3411	3917	1625	2563	2531	3134
 AURMO_00408:mRNA-degrading endonuclease toxin of MazEF toxin-antitoxin module	1450	1473	1426	1685	953	1100	992	1218	2524	2003	1618	1814	598	1763	1773	1613	1801	1960	1857	2118	866	1314	1622	1729
 AURMO_00409:hypothetical protein	1516	1475	1329	1752	861	1078	881	1240	2257	1884	1681	1660	612	1678	1771	1429	1496	1762	1847	1934	893	1290	1578	1679
 AURMO_00410:uncharacterized protein DUF3467	3506	3322	3192	3934	2088	2426	2231	2818	5188	4691	4322	3758	1282	3822	4812	3506	3821	4422	4852	4459	2005	3412	3266	3974
 AURMO_00411:O-acetylhomoserine sulfhydrylase 	20392	18486	22521	23877	14898	16996	11817	26738	40366	28843	22498	25287	9306	21557	31287	21691	25741	29467	27236	32125	10340	22423	21584	23251
 AURMO_00412:fucose 4-O-acetylase-like acetyltransferase	263	251	271	313	115	186	187	197	388	314	184	296	79	251	503	170	189	261	265	256	123	385	202	205
 AURMO_00413:voltage-gated potassium channel	420	419	417	521	309	391	295	470	919	664	580	642	169	599	700	498	640	697	520	709	294	439	557	657
 AURMO_00414:uracil-DNA glycosylase 	152	167	158	174	99	145	123	171	327	213	151	210	52	189	329	222	215	256	189	288	107	222	243	224
 AURMO_00415:phosphinothricin acetyltransferase	167	137	133	205	95	105	122	148	270	287	170	229	61	244	303	169	241	273	155	242	107	203	152	254
 AURMO_00416:transcription factor WhiB 	60176	45832	52170	71657	28327	28929	28036	20106	57897	63748	36246	35035	13773	35967	58833	29167	25348	65508	63640	60850	27771	54240	32953	35161
 AURMO_00417:hypothetical protein	600	662	684	752	420	500	357	635	1245	888	698	791	233	647	941	602	600	821	826	937	309	635	625	677
 AURMO_00418:hypothetical protein	2884	2799	2627	3606	1770	1991	1834	2348	5256	4157	2763	3245	1010	3489	3456	3232	3396	4143	3488	4559	1645	2053	2982	3759
 AURMO_00419:DNA-binding XRE family transcriptional regulator	524	512	529	619	345	433	364	459	886	751	690	646	219	652	650	573	748	775	627	760	366	467	631	670
 AURMO_00420:peroxiredoxin Q/BCP	663	694	818	1018	580	586	584	646	1396	1243	987	933	385	1169	1172	910	1187	1288	999	1297	670	982	883	1481
" AURMO_00421:dTDP-glucose 4,6-dehydratase "	2804	2832	3004	3689	1882	2238	1830	2763	5761	3937	2908	3508	1089	3226	3586	2836	3309	4043	3382	4313	1662	2437	2968	3175
" AURMO_00422:dTDP-4-dehydrorhamnose 3,5-epimerase"	945	923	990	1242	637	778	648	894	1889	1357	1079	1269	393	1042	1432	1012	1062	1370	1145	1448	532	870	983	1105
 AURMO_00423:UDP-glucose 4-epimerase	3127	3046	2868	3886	2015	2352	2115	3078	5615	4801	4115	4115	1279	4047	4761	3601	4308	4668	4297	4580	1992	2997	3323	4281
 AURMO_00424:ribosome biogenesis GTPase	1320	1103	1060	1615	769	887	889	1152	2420	1877	1884	1474	429	1644	2133	1405	1793	1928	1851	1825	745	1330	1248	1611
 AURMO_00425:3-phosphoshikimate 1-carboxyvinyltransferase 	901	830	885	1129	471	616	639	718	1605	1244	1003	1044	289	1062	1426	799	839	1168	904	1111	428	994	765	882
 AURMO_00426:RNA polymerase sigma-70 factor (ECF subfamily)	1649	1452	1956	1925	832	1162	990	892	2439	1497	561	1616	345	1141	1141	824	971	1884	1065	1769	869	1476	1396	1333
 AURMO_00427:mycothiol system anti-sigma-R factor	3155	3953	3657	4590	2309	2404	2123	2874	6171	4598	1365	3691	1109	2963	2721	2841	3202	4740	2806	5757	2142	3126	4047	4334
 AURMO_00428:IS30 family transposase	334	239	315	401	232	225	211	333	506	444	238	344	102	381	405	363	512	453	359	557	215	265	381	452
 AURMO_00429:2-oxoglutarate dehydrogenase E1 component	26683	22185	24883	34997	16558	18537	17641	25235	45612	40269	25840	30651	9350	29848	32383	25827	33462	40654	27958	40188	16223	24682	25653	39033
 AURMO_00430:peptidoglycan/LPS O-acetylase OafA/YrhL	1363	1255	1320	1687	787	1023	842	1221	2381	1598	1045	1373	407	1562	1734	1240	1111	1716	1562	1855	720	1040	1360	1148
 AURMO_00431:predicted membrane protein DUF2142	10242	9509	9496	12298	6231	7667	6774	7563	18239	14091	11979	11481	3556	11842	13397	9667	11080	13110	13468	13313	5897	8841	9069	10635
 AURMO_00432:glycosyl transferase family 2	1395	1387	1263	1851	953	1157	954	1691	2744	1955	2156	1828	528	1689	2280	1662	1890	2192	1941	2371	890	1309	1551	2024
 AURMO_00433:hypothetical protein	333	320	286	489	216	228	266	296	624	532	499	494	132	406	558	415	454	555	392	476	211	357	364	555
 AURMO_00434:ABC-type bacteriocin/lantibiotic exporter with double-glycine peptidase domain	1539	1462	1384	2011	980	1320	1129	1723	3148	2561	2640	2371	681	2231	2549	2257	2530	2770	1859	2933	1090	1526	2117	2511
 AURMO_00435:glycosyltransferase involved in cell wall biosynthesis	527	508	505	670	373	452	403	651	1091	893	786	880	236	807	863	811	932	938	573	965	398	573	701	875
 AURMO_00436:hypothetical protein	1669	1591	1587	1998	1061	1275	1046	1594	3026	2348	2037	2276	661	1948	2267	1819	2143	2242	1901	2422	899	1473	1673	1903
 AURMO_00437:glycosyltransferase involved in cell wall biosynthesis	1007	1055	947	1311	679	847	788	1269	2004	1670	1914	1641	533	1425	1628	1440	1526	1629	1348	1815	728	1059	1310	1484
 AURMO_00438:hypothetical protein	1025	1009	908	1298	676	790	793	1145	2081	1786	1705	1697	507	1374	1630	1493	1623	1644	1331	1823	632	934	1170	1388
 AURMO_00439:glycosyl transferase family 2	1052	975	956	1246	638	757	728	1152	1947	1767	1404	1602	404	1288	1584	1339	1454	1626	1258	1678	618	970	1067	1470
 AURMO_00440:predicted dehydrogenase	4568	4553	5118	6355	3592	3989	3313	5524	10318	7899	6709	7190	2110	6236	6825	6280	7815	8081	5649	9079	3078	4579	5565	7761
" AURMO_00441:dTDP-4-amino-4,6-dideoxygalactose transaminase"	7958	7578	8092	9845	5621	6282	5613	7657	15145	12319	10024	11085	3411	9331	10271	9487	10637	10978	9085	12404	4584	7385	8035	10203
 AURMO_00442:succinyltransferase-like protein	10671	10878	10634	13823	7409	8418	6799	10270	20043	15680	12834	13400	3957	12241	14439	11977	13546	14150	13921	16290	5699	9591	10755	12024
 AURMO_00443:VCBS repeat protein	20643	18882	17756	25883	12188	14168	12601	16413	33558	26901	20034	22022	6084	19990	23398	16782	18092	25348	21736	23676	10553	15730	15570	19528
 AURMO_00444:hypothetical protein	3031	2852	2652	3544	1994	2226	1852	2731	5066	4450	4374	3791	1281	3708	4302	3799	4623	4342	3979	4779	1881	2646	3532	4255
 AURMO_00445:glucose-1-phosphate thymidylyltransferase	2078	2239	2292	2619	1378	1911	1350	2073	4170	3377	2605	3265	944	2811	2842	2570	2631	3303	2584	3610	1348	2036	2636	2597
 AURMO_00446:ABC-2 type transport system permease protein	1106	1047	1014	1253	671	824	736	1037	2039	1554	1228	1188	414	1297	1379	1133	1078	1425	1346	1512	635	876	1090	1092
 AURMO_00447:ABC-type polysaccharide/polyol phosphate transport system ATPase subunit	1357	1290	1278	1727	930	1095	846	1358	2637	2142	1458	1751	546	1794	1625	1685	1590	1962	1474	2147	803	1133	1452	1503
 AURMO_00448:glycosyl transferase family 1	2935	2644	2647	3489	1769	2442	1953	2926	5689	4540	3554	4285	1326	3656	3619	3818	4045	4191	3063	4799	1754	2479	3411	3744
 AURMO_00449:transposase	12	13	21	14	14	19	4	14	30	21	13	18	7	22	142	23	24	23	24	26	8	68	20	26
 AURMO_00450:hypothetical protein	9	3	12	7	8	1	3	4	10	10	13	14	4	12	114	10	14	15	19	9	9	66	19	14
 AURMO_00452:arginyl-tRNA synthetase 	4033	3755	4441	5730	2920	3116	2775	4321	8572	6425	3786	5473	1602	4768	5733	4298	4052	5920	5058	6378	2353	4274	3809	4361
 AURMO_00453:diaminopimelate decarboxylase	3046	2909	3626	4096	1966	2332	1780	2472	7017	3775	2965	2892	828	2665	4469	2170	2224	3395	3774	3679	1228	2619	2154	1930
 AURMO_00454:homoserine dehydrogenase 	2634	2340	2999	3646	1821	2039	1513	2417	5942	3685	2727	3210	826	2208	3744	2052	2146	2948	2967	3237	1156	2601	1728	2062
 AURMO_00455:threonine synthase	8602	7736	8417	11418	5763	6380	5570	8112	18035	12689	9113	10636	3208	8800	11236	8441	9095	11039	9879	11998	4220	7239	7310	7805
 AURMO_00456:homoserine kinase 	1692	1589	1628	2250	1090	1301	1147	1438	3544	2306	1783	1798	597	1601	2514	1563	1617	2004	2020	2332	799	1509	1373	1437
 AURMO_00457:N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase	628	638	670	774	354	474	394	545	1094	782	502	648	191	619	872	564	499	847	737	835	325	662	608	497
 AURMO_00458:transcription termination factor Rho 	4405	4113	4657	5447	3016	3186	2444	4777	7801	5462	2562	4589	1314	2815	4891	2646	1978	4244	4182	4728	1712	3948	2519	2143
 AURMO_00459:peptide chain release factor 1 (bRF-1) 	2556	2324	2445	3210	1652	1819	1446	2660	4687	3179	1530	2591	657	1607	2643	1623	1103	2406	2340	2841	876	2003	1549	1152
" AURMO_00460:dTDP-4-amino-4,6-dideoxygalactose transaminase"	1929	1801	1827	2396	1093	1279	1133	1667	3538	2401	1509	1961	580	1728	2254	1684	1664	2320	1986	2465	905	1671	1648	1511
 AURMO_00461:glycosyltransferase involved in cell wall biosynthesis	901	862	951	1216	618	706	585	915	1792	1290	822	1095	290	1000	1387	877	987	1268	1010	1332	494	1052	808	967
 AURMO_00462:rhamnosyltransferase	624	544	537	755	379	482	278	573	1123	813	556	649	184	641	942	594	586	737	711	838	339	675	555	584
 AURMO_00463:serine O-acetyltransferase	953	930	963	1344	607	659	546	765	1728	1505	892	1160	301	954	1284	958	1084	1535	909	1622	611	920	1055	1187
 AURMO_00464:AAA ATPase-like protein	3232	2932	3094	3498	2051	2111	1939	2728	4737	4637	2951	3596	1170	3450	3563	3272	3759	5520	3178	5686	2194	2796	3482	3589
 AURMO_00465:cysteine synthase 	58464	57880	54805	80016	39122	37923	32368	50890	95865	86373	48167	62616	20252	52698	70256	51466	52301	74055	66616	81251	26318	52803	46608	55466
 AURMO_00466:release factor glutamine methyltransferase	211	225	199	321	159	155	120	159	378	333	208	238	77	229	429	239	229	289	241	343	131	371	196	237
 AURMO_00467:glycosyl transferase family 2	1238	1228	1368	1640	850	1072	775	1222	2521	1789	1247	1545	528	1476	1678	1449	1658	1940	1473	2224	784	1198	1599	1430
 AURMO_00468:translation factor SUA5 	958	833	930	1346	576	707	652	740	1809	1384	761	1000	263	1095	1197	834	1090	1482	861	1324	603	855	913	1284
 AURMO_00469:UDP-GlcNAc:undecaprenyl-phosphate GlcNAc-1-phosphate transferase	788	661	792	1006	451	536	524	658	1440	1163	741	891	220	788	1233	682	776	1092	821	1086	472	981	740	884
 AURMO_00470:hypothetical protein	283	286	278	426	195	200	226	281	693	504	384	466	89	402	535	347	434	561	345	571	204	380	353	492
 AURMO_00471:Fic family protein	634	620	636	776	381	440	411	650	1185	892	537	882	219	757	924	668	941	936	608	1048	410	801	694	1057
 AURMO_00472:ATP synthase F0 subcomplex A subunit 	4399	3598	3752	5023	2172	2853	2903	2865	6001	4626	2728	4415	1065	4065	3967	3069	2507	4765	3704	4713	1981	3097	2930	3488
 AURMO_00473:ATP synthase F0 subcomplex C subunit 	11742	11324	11100	14088	7771	8215	7713	10734	18892	17134	9599	12940	4291	11457	13048	10635	10206	14395	11994	16313	5694	10579	9880	13241
 AURMO_00474:ATP synthase F0 subcomplex B subunit 	20194	17696	19628	27455	12859	12801	12117	16724	33712	31036	13231	21249	6254	18159	20644	17349	20011	26981	17857	29862	9438	16969	16000	23803
 AURMO_00475:ATP synthase F1 subcomplex delta subunit 	16903	14554	16498	21294	11093	11378	10283	13774	29563	24748	10407	17673	5688	15110	16076	14975	17490	21835	14106	25273	8078	13211	14020	18397
 AURMO_00476:ATP synthase F1 subcomplex alpha subunit 	48753	44697	54157	67947	37087	36960	31718	47678	86484	75337	37225	61868	19022	51077	57041	47046	57967	68393	47113	81828	27532	47783	44129	68412
 AURMO_00477:ATP synthase F1 subcomplex gamma subunit 	14289	12662	14069	17195	9302	10299	9046	12246	23566	20247	10636	16022	4923	12585	14051	12541	14837	17199	12540	20486	6524	11821	12325	15956
 AURMO_00478:F-type H+-transporting ATPase subunit beta	25075	22417	27867	34654	18865	19998	15019	27484	50976	42370	19538	32079	9407	25505	28008	24993	31389	38884	22780	45793	13950	23485	24568	33775
 AURMO_00479:ATP synthase F1 subcomplex epsilon subunit 	4418	4054	4364	5382	2626	3469	2609	3756	8448	6696	3120	4785	1595	4378	4300	4233	4971	6557	3869	7262	2255	3221	4318	5051
 AURMO_00480:hypothetical protein	1188	1121	1319	1632	787	884	815	1198	2527	1878	820	1392	423	1491	1422	1292	1959	2111	1215	2326	765	1165	1519	1831
 AURMO_00481:transcriptional regulator with XRE-family HTH domain	185	187	174	224	93	159	98	173	317	267	129	217	68	214	272	196	245	268	164	324	109	217	208	239
 AURMO_00482:pilus assembly protein CpaF	198	158	123	222	93	110	102	153	293	190	148	132	64	133	364	126	121	209	135	200	84	469	137	132
 AURMO_00483:tight adherence protein B	50	40	52	68	26	26	21	36	102	50	48	39	15	37	212	37	33	54	44	47	15	211	31	31
 AURMO_00484:tight adherence protein C	26	24	32	34	17	27	25	27	51	42	31	32	3	20	233	27	33	45	37	40	23	245	23	27
 AURMO_00485:hypothetical protein	16	11	14	20	6	12	13	10	25	20	36	30	3	14	56	17	21	28	13	29	14	47	24	15
 AURMO_00486:TadE-like protein	37	40	36	62	32	30	19	33	68	59	60	45	12	34	77	42	51	58	31	50	29	98	46	34
 AURMO_00487:hypothetical protein	36	37	24	59	29	25	21	41	82	49	53	36	15	39	104	41	39	59	20	39	20	105	37	44
 AURMO_00488:putative Flp pilus-assembly TadE/G-like protein	16	8	14	17	9	7	4	11	22	16	21	12	3	3	86	12	20	19	14	16	4	92	12	12
 AURMO_00489:asparaginase 	2628	2163	2437	3290	1815	1686	1666	2271	3796	3522	3039	3027	958	2407	3435	2318	2841	3260	2771	3265	1414	2752	2013	3420
 AURMO_00490:4-aminobutyrate aminotransferase/(S)-3-amino-2-methylpropionate transaminase	18532	15034	20411	24974	12994	11292	10035	15879	29564	28611	19127	20817	5589	15510	23454	13936	23083	26591	18533	27113	8981	19467	13604	29035
 AURMO_00491:1-deoxy-D-xylulose 5-phosphate reductoisomerase 	611	588	542	811	373	455	378	485	1130	957	640	738	192	651	1032	590	652	965	650	896	322	867	595	778
 AURMO_00492:RIP metalloprotease RseP	4696	4063	4298	5993	2937	3293	2840	3984	8394	6617	3228	4861	1429	4717	3968	4699	5660	7509	3494	7858	3369	3431	5525	5540
 AURMO_00493:4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase 	8597	7595	8609	11283	6125	5763	5542	8677	16006	12691	8870	10240	2978	9726	11975	8576	11111	12213	10273	12491	5073	7964	7605	11049
 AURMO_00494:hypothetical protein	190	166	163	255	104	136	152	174	335	262	222	183	58	257	253	191	197	267	288	261	109	141	159	212
 AURMO_00495:predicted MFS family arabinose efflux permease	141	96	116	190	67	92	80	108	243	162	95	156	36	157	362	101	160	200	115	176	79	377	147	177
 AURMO_00496:prolyl-tRNA synthetase 	3840	3622	4040	5422	2779	3170	2561	4351	8758	6237	4246	5457	1592	4438	5324	4251	4550	5567	4227	6153	2147	3665	3713	4506
 AURMO_00497:NusA antitermination factor 	5811	5025	5982	8386	3764	3637	3394	4876	11197	9354	3454	7555	1861	5722	6188	4896	6252	9014	5159	8261	3020	5150	4499	7151
 AURMO_00498:hypothetical protein	3422	3066	3625	4685	2114	2320	2265	2739	6458	4944	2738	3585	1008	3289	3982	2601	2833	4719	3705	4372	1771	2993	2740	3057
 AURMO_00499:translation initiation factor 2 (bIF-2) 	29312	27716	31784	39265	18477	20418	17294	26189	51565	35752	13167	26266	7547	18303	28895	17061	10858	27067	27906	29858	9573	24141	15973	10855
 AURMO_00500:ribosome-binding factor A 	3703	3659	3986	4929	2388	2495	2090	3012	7084	4385	1467	3234	1040	2557	3719	2089	1463	3112	3631	3859	1195	2986	2124	1468
 AURMO_00501:2TM domain-containing protein	1109	1138	1330	1423	783	1102	744	1138	2644	2198	1631	1959	576	2617	1793	2102	3445	2721	1697	3115	1322	1267	2568	3336
 AURMO_00502:A/G-specific DNA-adenine glycosylase 	481	461	479	684	330	374	374	499	908	752	370	602	167	633	765	568	674	777	614	725	317	621	506	761
 AURMO_00503:putative membrane protein	832	863	818	1186	717	662	651	858	1631	1503	1245	1253	369	1400	1559	1363	1971	1673	1215	1946	778	1147	1357	2107
 AURMO_00504:VIT1/CCC1 family predicted Fe2+/Mn2+ transporter	384	370	431	514	189	230	242	291	722	542	338	474	105	405	545	364	450	643	374	621	221	483	404	501
 AURMO_00505:hypothetical protein	199	157	262	313	143	154	124	174	473	327	172	261	53	183	311	145	220	374	202	342	118	248	141	240
 AURMO_00506:cell division transport system ATP-binding protein	3667	3489	3780	5076	2595	2996	2666	3706	7933	5602	3981	4922	1323	4439	5011	3966	4629	4870	4440	4981	1848	3143	3026	3678
 AURMO_00507:cell division transport system permease protein	8699	8448	7478	11574	5686	6524	5844	9509	16579	11707	11921	9968	2866	9174	12429	8646	11065	9808	11690	10286	3903	6849	6599	9231
 AURMO_00508:SsrA-binding protein 	1385	1236	1280	1742	753	938	838	996	2455	1830	919	1389	428	1245	1603	1028	1199	1663	1389	1632	619	1131	1085	1388
 AURMO_00510:uncharacterized 5xTM membrane YitT family protein	1267	1245	897	1400	688	719	663	933	1557	1437	1754	1338	318	1163	1687	1122	1435	1458	1315	1765	633	1174	1028	1567
 AURMO_00511:hypothetical protein	13468	14077	13391	19424	10806	10136	8961	15877	27982	22591	19029	19335	5481	16023	20740	17741	22372	17824	17940	21653	6905	12989	12775	19179
 AURMO_00512:glutathione peroxidase	10076	9329	8089	11287	5704	6022	4798	6188	9900	11334	6315	6895	2734	6467	8928	6102	7251	13323	9219	13906	5567	9198	9117	10703
 AURMO_00513:flavin reductase (DIM6/NTAB) family NADH-FMN oxidoreductase RutF	1686	1594	1732	2217	1025	1069	985	1183	2574	1909	638	1437	413	1122	1305	986	994	1889	1081	1910	842	1675	1186	1096
 AURMO_00514:uncharacterized protein (DUF2236 family)	2274	2200	2575	2968	1470	1600	1362	2103	4123	2743	1157	2169	616	2188	2169	1757	2172	3058	1803	3328	1550	2346	2435	2581
 AURMO_00515:histidinol-phosphate phosphatase 	913	792	995	1278	615	830	610	944	2021	1437	949	1305	320	1043	1474	972	1158	1525	975	1517	562	958	1007	1180
 AURMO_00517:metallo-beta-lactamase family protein	1396	1166	1325	1840	932	1006	865	1329	2671	2093	1688	1839	550	1649	2190	1655	2274	2236	1639	2453	943	1619	1608	2290
 AURMO_00518:SdpI/YhfL family protein	379	383	416	490	235	311	240	446	774	615	419	501	142	418	490	444	617	575	415	643	198	361	399	537
 AURMO_00519:formiminoglutamase	1744	1665	1917	2534	1325	1466	1150	2033	4258	2801	2014	2528	623	2112	2831	2038	3288	2833	2234	3109	1113	1813	2100	2876
 AURMO_00520:imidazolonepropionase 	1816	1974	1730	2083	1307	1166	899	1697	2535	1855	1922	1610	512	1268	2554	1388	1818	1861	2011	2398	768	2089	1467	1867
 AURMO_00521:urocanate hydratase 	3467	3793	3093	3941	2685	1992	1596	2954	4309	3409	4056	3370	875	1959	4760	2318	2790	2917	3658	4297	1186	4300	1860	3263
 AURMO_00522:histidine ammonia-lyase 	1362	1434	1175	1579	1060	800	618	913	1283	1263	1514	1338	332	665	2038	752	742	1039	1510	1320	468	2003	644	1025
 AURMO_00523:IclR family transcriptional regulator 	278	235	273	290	174	171	163	170	324	278	266	307	76	257	529	198	235	331	329	306	112	433	188	282
 AURMO_00524:small multidrug resistance pump	436	466	412	618	321	362	312	424	988	725	590	637	169	618	660	593	717	753	598	818	305	466	586	627
 AURMO_00525:hypothetical protein	699	911	1073	1227	599	468	670	814	1542	1512	581	874	294	1348	1283	797	1807	2206	1081	1944	706	1395	1182	3511
 AURMO_00527:uncharacterized protein YbjT (DUF2867 family)	1679	1360	1700	2259	1086	979	981	1342	2602	2426	1631	1801	579	2201	2581	1819	2937	3333	2047	2973	1428	2164	2273	3627
 AURMO_00528:hypothetical protein	1899	1433	2455	3290	1665	1227	1331	1824	4440	4759	619	2734	800	2640	1453	1742	3188	4727	944	3533	1537	1766	1881	3606
 AURMO_00529:Cu+-exporting ATPase	37036	33132	38647	46616	21712	23617	22129	30914	58986	43638	13462	33227	10958	30880	27723	25129	30782	44589	27486	48590	23108	33472	34539	42189
 AURMO_00530:fatty acid desaturase	1559	1391	1325	2199	972	1167	831	976	2348	1660	1487	957	355	1214	1677	972	912	2146	1490	1989	836	1154	1264	948
 AURMO_00531:hypothetical protein	1365	1099	1279	1806	773	932	736	1098	2064	1615	968	1063	316	1296	1323	1112	1165	1873	1224	1878	844	1046	1283	1377
 AURMO_00532:helicase-like protein	4766	4412	5079	6378	2969	3704	2947	4785	9867	6460	3058	5585	1604	3969	5536	3843	2951	5789	4850	6521	2211	4116	3647	3625
 AURMO_00533:ZIP family zinc transporter	792	702	911	1164	542	654	476	732	1774	1128	534	882	252	767	1042	702	885	1172	753	1270	495	850	941	810
 AURMO_00534:pimeloyl-ACP methyl ester carboxylesterase	722	592	656	979	481	516	444	608	1250	1123	776	946	251	857	1199	753	870	1073	793	1081	479	858	744	1019
 AURMO_00535:PiT family inorganic phosphate transporter	402	402	383	513	258	256	236	368	712	590	329	487	171	478	827	418	503	526	454	604	217	635	421	482
 AURMO_00536:hypothetical protein	232	209	193	283	119	103	145	185	422	301	193	297	99	252	304	257	211	303	298	334	105	218	234	242
 AURMO_00537:AGZA family xanthine/uracil permease-like MFS transporter	6465	7498	7627	8118	5897	6359	5045	10635	14914	11052	16149	12445	3692	15536	16807	12796	21730	12976	13841	15420	6641	9827	13649	20816
 AURMO_00538:hypothetical protein	54	58	41	55	27	46	39	51	93	84	61	51	21	44	120	47	42	89	46	56	33	97	37	42
 AURMO_00539:hypothetical protein	40	33	32	39	29	28	28	32	54	52	37	40	17	36	188	23	23	35	46	48	17	184	35	25
 AURMO_00540:3-methyladenine DNA glycosylase AlkD	457	385	399	541	248	303	246	281	718	510	373	457	125	414	582	338	355	579	458	482	212	428	355	361
 AURMO_00541:putative serine protease PepD	6024	5321	4848	6855	3826	3705	3222	5372	8983	8094	2851	5906	1592	3738	3749	3668	4440	8039	2767	7390	3566	4536	4663	4013
" AURMO_00542:cellulose synthase/poly-beta-1,6-N-acetylglucosamine synthase-like glycosyltransferase"	1828	1837	2088	2689	1475	1344	1343	1925	3888	2977	1553	2572	617	2024	2471	1926	2189	3163	1950	3095	1208	1917	1963	2254
 AURMO_00543:phosphatidylglycerophosphate synthase	984	955	980	1262	624	786	690	989	1849	1403	956	1203	329	1122	1400	1067	1186	1392	1079	1473	623	949	1044	1047
 AURMO_00544:GT2 family glycosyltransferase	140	128	113	167	92	115	110	139	280	186	140	199	40	135	346	120	149	194	143	197	75	311	126	171
 AURMO_00545:hypothetical protein	1096	1174	1151	1599	818	879	762	1201	2428	1915	1167	1532	478	1357	1700	1184	1412	1739	1444	1916	652	1226	1229	1455
 AURMO_00546:superfamily I DNA/RNA helicase	1712	1481	1695	2156	1088	1199	1142	1572	3054	2448	1721	2140	576	2066	2786	1765	2199	2511	1857	2557	1167	2042	1889	2414
 AURMO_00547:DNA helicase-2/ATP-dependent DNA helicase PcrA	1018	847	1020	1449	757	764	784	1217	2110	1666	1335	1499	361	1189	2140	1115	1880	1623	1216	1716	639	1726	1203	1979
 AURMO_00548:aminoglycoside phosphotransferase (APT) family kinase protein	1610	1639	1674	2386	1253	1379	1263	1920	3609	2585	2029	2641	629	2141	2559	1855	2369	2317	2035	2344	940	1725	1439	2056
 AURMO_00549:NAD+ diphosphatase	466	490	533	694	331	391	356	367	943	689	439	586	170	480	897	432	472	742	549	758	298	671	524	453
 AURMO_00550:Rep family ATP-dependent DNA helicase 	780	666	867	1049	455	576	474	679	1426	999	561	928	225	779	1301	642	684	1060	788	1070	426	997	680	772
 AURMO_00551:hypothetical protein	102	97	106	113	79	72	65	81	161	108	56	72	23	80	288	72	66	128	85	145	59	260	86	101
 AURMO_00552:putative hydrolase	1627	1440	1446	1936	1000	1020	951	1278	2299	2237	1081	1449	435	1282	1853	1034	1313	2624	1334	2374	1033	1720	1581	2045
 AURMO_00553:PDZ domain-containing protein	2397	2188	1930	2821	1292	1411	1281	1499	3207	2817	1141	1827	594	1460	1741	1288	1088	2761	1396	2755	1060	1629	1675	1389
 AURMO_00554:hypothetical protein	8344	7340	7232	9891	5132	5762	4842	7183	13587	11650	5508	8488	2815	6714	7251	6625	7082	11470	5876	11643	4755	6928	7750	7727
 AURMO_00555:cytochrome bd-I ubiquinol oxidase subunit 1 apoprotein 	5642	4937	5393	6337	3795	4508	5088	7990	10610	8149	3535	9875	2451	8943	6696	7453	10328	8529	6023	11464	4240	5078	7127	14274
 AURMO_00556:cytochrome bd-I ubiquinol oxidase subunit 2 apoprotein 	5882	6346	6285	7156	4885	5124	4426	9328	13344	9520	2997	7449	2863	8739	6021	8621	11891	10056	5764	14760	4827	5157	9552	14181
